 HCN        C3H7                  SOOT                              0.777E-30 -0.273E+01  0.386E+04  0.100E+02  0.100E+03  0.550E-10  0.000E+00  0.244E+04  0.100E+02  0.100E+03
 H2CN       H                     CH2NH                             0.347E-26 -0.130E+00  0.000E+00  0.200E+01  0.100E+03  0.800E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 C2N2       H                     HC2N2                             0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.150E-14  0.000E+00  0.000E+00  0.120E+01  0.100E+03
 HC3N       H                     H2C3N                             0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.110E-11  0.000E+00  0.500E+03  0.120E+01  0.100E+03
 O3P        H                     OH                                0.433E-31 -0.100E+01  0.000E+00  0.500E+01  0.100E+03  0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 O3P        CO                    CO2                               0.170E-32  0.000E+00  0.151E+04  0.250E+01  0.100E+03  0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 OH         H                     H2O                               0.678E-30 -0.200E+01  0.000E+00  0.200E+01  0.100E+03  0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 OH         CH3                   CH3OH                             0.242E-26 -0.380E+01  0.000E+00  0.140E+01  0.100E+03  0.145E-09  0.100E+00  0.000E+00  0.200E+01  0.100E+03
 OH         C2H2                  CH3CO                             0.497E-29 -0.150E+01  0.000E+00  0.160E+01  0.300E+03  0.841E-12  0.200E+01  0.000E+00  0.100E+02  0.100E+03
 OH         C2H3                  CH3CHO                            0.300E-24 -0.350E+01  0.000E+00  0.200E+01  0.100E+03  0.500E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 CO         H                     HCO                               0.529E-33  0.000E+00  0.373E+03  0.130E+01  0.450E+03  0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 CO         3CH2                  CH2CO                             0.100E-27  0.000E+00  0.000E+00  0.200E+01  0.100E+03  0.100E-14  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 CO         CH3                   CH3CO                             0.419E-35  0.000E+00  0.000E+00  0.316E+01  0.100E+03  0.840E-12  0.000E+00  0.346E+04  0.160E+01  0.100E+03
 HCO        CH3                   CH3CHO                            0.200E-25 -0.350E+01  0.000E+00  0.200E+01  0.100E+03  0.301E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
