 C2H        C2H3                  C4H3       H                      0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C2H4                  C4H4       H                      0.140E-09  0.000E+00  0.000E+00  0.170E+01  0.000E+00
 C2H        C2H5                  C2H4       C2H2                   0.300E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C2H5                  C3H3       CH3                    0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C2H6                  C2H5       C2H2                   0.510E-10  0.000E+00  0.760E+02  0.150E+01  0.200E+02
 C2H        C3                    SOOT       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 C2H        cC3H2                 SOOT       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 C2H        tC3H2                 SOOT       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 C2H        lC3H2                 SOOT       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 C2H        CH3C2H                SOOT       H                      0.210E-09 -0.300E+00  0.000E+00  0.160E+01  0.000E+00
 C2H        CH2CCH2               SOOT       H                      0.204E-09 -0.400E+00  0.000E+00  0.180E+01  0.000E+00
 C2H        C3H5                  CH2CCH2    C2H2                   0.120E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C3H6                  C4H4       CH3                    0.200E-09  0.000E+00  0.000E+00  0.130E+01  0.000E+00
 C2H        C3H7                  C2H5       C3H3                   0.200E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 C2H        C3H7                  C2H2       C3H6                   0.100E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C3H8                  C3H7       C2H2                   0.980E-10  0.000E+00  0.710E+02  0.190E+01  0.800E+02
 C2H        C4H                   C6H        H                      0.300E-11  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H        C4H2                  C6H2       H                      0.130E-09  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H        C4H3                  C4H2       C2H2                   0.160E-11  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H        C4H3                  SOOT       H                      0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H        C4H8                  SOOT       H                      0.210E-09  0.000E+00  0.000E+00  0.150E+01  0.000E+00
 C2H        C4H10                 SOOT       C2H2                   0.123E-09  0.000E+00  0.000E+00  0.131E+01  0.000E+00
 C2H        C6H2                  C8H2       H                      0.130E-09  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H        C6H6                  SOOT                              0.328E-09 -0.180E+00  0.000E+00  0.150E+01  0.300E+02
 C2H        C8H2                  SOOT                              0.130E-09  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2H3       H2                    C2H4       H                      0.301E-19  0.000E+00  0.000E+00  0.120E+02  0.100E+03
 C2H3       CH4                   C2H4       CH3                    0.218E-13  0.402E+01  0.275E+04  0.500E+01  0.100E+03
 C2H3       C2H2                  C4H4       H                      0.331E-11  0.000E+00  0.252E+04  0.200E+01  0.100E+03
 C2H3       C2H3                  C2H4       C2H2                   0.350E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 C2H3       C2H4                  C4H6       H                      0.830E-12  0.000E+00  0.368E+04  0.500E+01  0.100E+03
 C2H3       C2H5                  C2H4       C2H4                   0.180E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H3       C2H5                  C2H6       C2H2                   0.980E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H3       C2H6                  C2H4       C2H5                   0.149E-12  0.330E+01  0.528E+04  0.500E+01  0.100E+03
 C2H3       cC3H2                 SOOT       H                      0.100E-11  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       cC3H2                 C4H2       CH3                    0.100E-11  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       cC3H2                 C3H3       C2H2                   0.100E-11  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       tC3H2                 SOOT       H                      0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       tC3H2                 C4H2       CH3                    0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       tC3H2                 C3H3       C2H2                   0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       lC3H2                 SOOT       H                      0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       lC3H2                 C4H2       CH3                    0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       lC3H2                 C3H3       C2H2                   0.100E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 C2H3       CH3C2H                SOOT       H                      0.331E-11  0.000E+00  0.252E+04  0.100E+02  0.100E+03
 C2H3       CH2CCH2               SOOT       H                      0.331E-11  0.000E+00  0.252E+04  0.100E+02  0.100E+03
 C2H3       C3H5                  C2H4       CH2CCH2                0.200E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H3       C3H5                  C3H6       C2H2                   0.800E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H3       C3H5                  C2H4       CH3C2H                 0.400E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H3       C3H5                  SOOT       H          H           0.800E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 C2H3       C3H6                  C3H5       C2H4                   0.172E-14  0.350E+01  0.236E+04  0.100E+02  0.100E+03
