molecule_id	title	formula	smiles	inchi	inchikey	mw
pbm-000071	4-hydroxy-2-imino-hexahydropyrimidine	C4H9N3O	C1CN=C(NC1O)N	InChI=1S/C4H9N3O/c5-4-6-2-1-3(8)7-4/h3,8H,1-2H2,(H3,5,6,7)	OGXDYWBMLYVBQS-UHFFFAOYSA-N	115.1299972534
pbm-000072	amino((3-cyano-3-hydroxypropyl)amino)methaniminium	C5H10N4O	C(CN=C(N)N)C(C#N)O	InChI=1S/C5H10N4O/c6-3-4(10)1-2-9-5(7)8/h4,10H,1-2H2,(H4,7,8,9)	KYYDGGLVCDFFOX-UHFFFAOYSA-N	142.1600036621
pbm-000073	4-(diaminomethylideneamino)-2-hydroxybutanethioamide	C5H12N4OS	C(CN=C(N)N)C(C(=S)N)O	InChI=1S/C5H12N4OS/c6-4(11)3(10)1-2-9-5(7)8/h3,10H,1-2H2,(H2,6,11)(H4,7,8,9)	WQHBYIUCBRJIKH-UHFFFAOYSA-N	176.2400054932
pbm-000074	4-(diaminomethylideneamino)butanethioamide	C5H12N4S	C(CC(=S)N)CN=C(N)N	InChI=1S/C5H12N4S/c6-4(10)2-1-3-9-5(7)8/h1-3H2,(H2,6,10)(H4,7,8,9)	LNCNEIPNWWFSHV-UHFFFAOYSA-N	160.2400054932
pbm-000076	2-(4-cyano-4-hydroxybutyl)guanidine	C6H12N4O	C(CC(C#N)O)CN=C(N)N	InChI=1S/C6H12N4O/c7-4-5(11)2-1-3-10-6(8)9/h5,11H,1-3H2,(H4,8,9,10)	HBOGPXKLQVMGLZ-UHFFFAOYSA-N	156.1900024414
pbm-000077	2-(4-amino-4-cyanobutyl)guanidine	C6H13N5	C(CC(C#N)N)CN=C(N)N	InChI=1S/C6H13N5/c7-4-5(8)2-1-3-11-6(9)10/h5H,1-3,8H2,(H4,9,10,11)	PTCAWABYQRNMHW-UHFFFAOYSA-N	155.1999969482
pbm-000078	3-aminopropanal	C3H7NO	C(CN)C=O	InChI=1S/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2	PCXDJQZLDDHMGX-UHFFFAOYSA-N	73.0899963379
pbm-000079	4-amino-2-hydroxybutanenitrile	C4H8N2O	C(CN)C(C#N)O	InChI=1S/C4H8N2O/c5-2-1-4(7)3-6/h4,7H,1-2,5H2	AGOKWNFRNNXWDH-UHFFFAOYSA-N	100.1200027466
pbm-000080	4-amino-2-hydroxybutanethioamide	C4H10N2OS	C(CN)C(C(=S)N)O	InChI=1S/C4H10N2OS/c5-2-1-3(7)4(6)8/h3,7H,1-2,5H2,(H2,6,8)	WJJOYQVCMUJFNE-UHFFFAOYSA-N	134.1999969482
pbm-000081	3-hydroxypyrrolidine-2-thione	C4H7NOS	C1CNC(=S)C1O	InChI=1S/C4H7NOS/c6-3-1-2-5-4(3)7/h3,6H,1-2H2,(H,5,7)	UQBSVNWJGJALPC-UHFFFAOYSA-N	117.1699981689
pbm-000082	pyrrolidine-2-thione	C4H7NS	C1CC(=S)NC1	InChI=1S/C4H7NS/c6-4-2-1-3-5-4/h1-3H2,(H,5,6)	IMWUREPEYPRYOR-UHFFFAOYSA-N	101.1699981689
pbm-000083	pyrrolidine-2-carbonitrile	C5H8N2	C1CC(NC1)C#N	InChI=1S/C5H8N2/c6-4-5-2-1-3-7-5/h5,7H,1-3H2	ALSCEGDXFJIYES-UHFFFAOYSA-N	96.1299972534
pbm-000084	but-2-enedinitrile	C4H2N2	C(=CC#N)C#N	InChI=1S/C4H2N2/c5-3-1-2-4-6/h1-2H	KYPOHTVBFVELTG-UHFFFAOYSA-N	78.0699996948
pbm-000085	malonitrile	C4H4N2O	C(C#N)C(C#N)O	InChI=1S/C4H4N2O/c5-2-1-4(7)3-6/h4,7H,1H2	JXPDNDHCMMOJPC-UHFFFAOYSA-N	96.0899963379
pbm-000086	succinonitrile	C4H4N2	C(CC#N)C#N	InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2	IAHFWCOBPZCAEA-UHFFFAOYSA-N	80.0899963379
pbm-000087	4-oxobutanenitrile	C4H5NO	C(CC#N)C=O	InChI=1S/C4H5NO/c5-3-1-2-4-6/h4H,1-2H2	CGFGIKNLZTZJDE-UHFFFAOYSA-N	83.0899963379
pbm-000088	2-hydroxyadiponitrile	C6H8N2O	C(CC#N)CC(C#N)O	InChI=1S/C6H8N2O/c7-4-2-1-3-6(9)5-8/h6,9H,1-3H2	GPSMBEQYCNMPHF-UHFFFAOYSA-N	124.1399993896
pbm-000089	2-hydroxypentanedinitrile	C5H6N2O	C(CC(C#N)O)C#N	InChI=1S/C5H6N2O/c6-3-1-2-5(8)4-7/h5,8H,1-2H2	DDCDTWPTVDVDDU-UHFFFAOYSA-N	110.1100006104
pbm-000090	2-aminopentanedinitrile	C5H7N3	C(CC(C#N)N)C#N	InChI=1S/C5H7N3/c6-3-1-2-5(8)4-7/h5H,1-2,8H2	OEJCZBUJXIJRST-UHFFFAOYSA-N	109.1299972534
pbm-000091	2-amino-3-hydroxypropanenitrile	C3H6N2O	C(C(C#N)N)O	InChI=1S/C3H6N2O/c4-1-3(5)2-6/h3,6H,2,5H2	BOYRGCUYTXBPQH-UHFFFAOYSA-N	86.0899963379
pbm-000092	L-Serine	C3H7NO3	C(C(C(=O)O)N)O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	MTCFGRXMJLQNBG-UHFFFAOYSA-N	105.0899963379
pbm-000093	L-Threonine	C4H9NO3	CC(C(C(=O)O)N)O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)	AYFVYJQAPQTCCC-UHFFFAOYSA-N	119.1200027466
pbm-000094	L-Valine	C5H11NO2	CC(C)C(C(=O)O)N	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)	KZSNJWFQEVHDMF-UHFFFAOYSA-N	117.1500015259
pbm-000095	2-amino-4-methylpentanenitrile	C6H12N2	CC(C)CC(C#N)N	InChI=1S/C6H12N2/c1-5(2)3-6(8)4-7/h5-6H,3,8H2,1-2H3	ROAHGHLLRAUFEQ-UHFFFAOYSA-N	112.1699981689
pbm-000096	L-Arginine	C6H14N4O2	C(CC(C(=O)O)N)CN=C(N)N	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	ODKSFYDXXFIFQN-UHFFFAOYSA-N	174.1999969482
pbm-000097	2-aminosuccinonitrile	C4H5N3	C(C#N)C(C#N)N	InChI=1S/C4H5N3/c5-2-1-4(7)3-6/h4H,1,7H2	VKLBVSAOSBIXST-UHFFFAOYSA-N	95.0999984741
