# Complete CRAHCN plus CRAHCN-O oxygen extension, transcribed from the published supporting tables.
# Columns: ID | MODULE | REACTION | CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
# Multi-step mechanisms are reduced to their net reactants and final products; source files remain unmodified.

CR33 | crahcn_arrhenius | N2 + N2D -> N2 + N | thermal | modified_arrhenius(alpha=5.4e-12,beta=0,gamma=1620,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 33 | published_network
CR34 | crahcn_arrhenius | N2 + CH21 -> N2 + CH23 | thermal | modified_arrhenius(alpha=2.3e-12,beta=-2.15,gamma=74,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 34 | published_network
CR35 | crahcn_arrhenius | H2CN + NH -> HCN + NH2 | thermal | modified_arrhenius(alpha=4.3e-13,beta=2.05,gamma=331,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 35 | published_network
CR36 | crahcn_arrhenius | H2CN + N -> N2 + CH23 | thermal | modified_arrhenius(alpha=4.3e-12,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 36 | published_network
CR37 | crahcn_arrhenius | H2CN + N -> HCN + NH | thermal | modified_arrhenius(alpha=1.0e-10,beta=0,gamma=200,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 37 | published_network
CR38 | crahcn_arrhenius | H2CN + N2D -> N2 + CH23 | thermal | modified_arrhenius(alpha=3.2e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 38 | published_network
CR39 | crahcn_arrhenius | H2CN + N2D -> N2 + CH21 | thermal | modified_arrhenius(alpha=6.4e-12,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 39 | published_network
CR40 | crahcn_arrhenius | H2CN + CH -> CH2CN + H | thermal | modified_arrhenius(alpha=2.6e-11,beta=-1.66,gamma=119,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 40 | published_network
CR41 | crahcn_arrhenius | H2CN + CH -> HCN + CH23 | thermal | modified_arrhenius(alpha=2.2e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 41 | published_network
CR42 | crahcn_arrhenius | H2CN + CH -> HCN + CH21 | thermal | modified_arrhenius(alpha=6.4e-10,beta=-2.04,gamma=904,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 42 | published_network
CR43 | crahcn_arrhenius | H2CN + H -> HCN + H2 | thermal | modified_arrhenius(alpha=2.2e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 43 | published_network
CR44 | crahcn_arrhenius | H2CN -> HCN + H | thermal | modified_arrhenius(alpha=1.3e+13,beta=1.74,gamma=19060,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 44 | published_network
CR45 | crahcn_arrhenius | HCN + CN -> NCCN + H | thermal | modified_arrhenius(alpha=1.5e-13,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 45 | published_network
CR46 | crahcn_arrhenius | HCN + N2D -> N2 + CH | thermal | modified_arrhenius(alpha=6.8e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 46 | published_network
CR47 | crahcn_arrhenius | HCN + CH21 -> CH2CN + H | thermal | modified_arrhenius(alpha=3.7e-13,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 47 | published_network
CR48 | crahcn_arrhenius | HCN + H -> HNC + H | thermal | modified_arrhenius(alpha=9.0e-11,beta=1.20,gamma=6249,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 48 | published_network
CR49 | crahcn_arrhenius | HNC + H -> HCN + H | thermal | modified_arrhenius(alpha=8.9e-11,beta=0.80,gamma=649,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 49 | published_network
CR50 | crahcn_arrhenius | CN + NH -> HCN + N | thermal | modified_arrhenius(alpha=1.1e-13,beta=0.15,gamma=528,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 50 | published_network
CR51 | crahcn_arrhenius | CN + NH -> CH + N2 | thermal | modified_arrhenius(alpha=4.6e-12,beta=1.22,gamma=263,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 51 | published_network
CR52 | crahcn_arrhenius | CN + N -> N2 + C | thermal | modified_arrhenius(alpha=1.1e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 52 | published_network
CR53 | crahcn_arrhenius | CN + N2D -> N2 + C | thermal | modified_arrhenius(alpha=1.6e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 53 | published_network
CR54 | crahcn_arrhenius | CN + CH4 -> HCN + CH3 | thermal | modified_arrhenius(alpha=1.5e-11,beta=0,gamma=940,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 54 | published_network
CR55 | crahcn_arrhenius | CN + CH3 -> HCN + CH23 | thermal | modified_arrhenius(alpha=6.7e-12,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 55 | published_network
CR56 | crahcn_arrhenius | CN + CH -> HCN + C | thermal | modified_arrhenius(alpha=1.4e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 56 | published_network
CR57 | crahcn_arrhenius | CN + CH -> HNC + C | thermal | modified_arrhenius(alpha=5.4e-13,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 57 | published_network
CR58 | crahcn_arrhenius | CN + H2 -> HCN + H | thermal | modified_arrhenius(alpha=4.1e-12,beta=1.55,gamma=1510,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 58 | published_network
CR59 | crahcn_arrhenius | NH + NH -> N2 + H + H | thermal | modified_arrhenius(alpha=3.5e-12,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 59 | published_network
CR60 | crahcn_arrhenius | NH + NH -> NH2 + N | thermal | modified_arrhenius(alpha=1.9e-12,beta=0.47,gamma=3738,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 60 | published_network
CR61 | crahcn_arrhenius | NH + N -> N2 + H | thermal | modified_arrhenius(alpha=2.5e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 61 | published_network
CR62 | crahcn_arrhenius | NH + N2D -> N2 + H | thermal | modified_arrhenius(alpha=8.8e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 62 | published_network
CR63 | crahcn_arrhenius | NH + CH3 -> H2CN + H2 | thermal | modified_arrhenius(alpha=2.0e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 63 | published_network
CR64 | crahcn_arrhenius | NH + CH23 -> H2CN + H | thermal | modified_arrhenius(alpha=1.9e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 64 | published_network
CR65 | crahcn_arrhenius | NH + CH21 -> H2CN + H | thermal | modified_arrhenius(alpha=4.6e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 65 | published_network
CR66 | crahcn_arrhenius | NH + CH -> HCN + H | thermal | modified_arrhenius(alpha=4.5e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 66 | published_network
CR67 | crahcn_arrhenius | NH + CH -> HNC + H | thermal | modified_arrhenius(alpha=5.2e-11,beta=1.04,gamma=2551,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 67 | published_network
CR68 | crahcn_arrhenius | NH + H -> H2 + N | thermal | modified_arrhenius(alpha=2.2e-12,beta=1.55,gamma=103,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 68 | published_network
CR69 | crahcn_arrhenius | N + CH3 -> H2CN + H | thermal | modified_arrhenius(alpha=7.7e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 69 | published_network
CR70 | crahcn_arrhenius | N + CH23 -> HCN + H | thermal | modified_arrhenius(alpha=1.0e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 70 | published_network
CR71 | crahcn_arrhenius | N + CH21 -> CN + H + H | thermal | modified_arrhenius(alpha=1.9e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 71 | published_network
CR72 | crahcn_arrhenius | N + CH -> CN + H | thermal | modified_arrhenius(alpha=1.1e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 72 | published_network
CR73 | crahcn_arrhenius | N2D + CH4 -> H2CN + H2 | thermal | modified_arrhenius(alpha=4.8e-11,beta=0,gamma=750,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 73 | published_network
CR74 | crahcn_arrhenius | N2D + CH3 -> H2CN + H | thermal | modified_arrhenius(alpha=2.3e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 74 | published_network
CR75 | crahcn_arrhenius | N2D + CH23 -> HCN + H | thermal | modified_arrhenius(alpha=2.1e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 75 | published_network
CR76 | crahcn_arrhenius | N2D + CH23 -> CN + H + H | thermal | modified_arrhenius(alpha=3.5e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 76 | published_network
CR77 | crahcn_arrhenius | N2D + CH21 -> HCN + H | thermal | modified_arrhenius(alpha=2.4e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 77 | published_network
CR78 | crahcn_arrhenius | N2D + CH -> CN + H | thermal | modified_arrhenius(alpha=3.5e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 78 | published_network
CR79 | crahcn_arrhenius | N2D + H2 -> NH + H | thermal | modified_arrhenius(alpha=4.2e-11,beta=0,gamma=880,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 79 | published_network
CR80 | crahcn_arrhenius | CH4 + CH23 -> CH3 + CH3 | thermal | modified_arrhenius(alpha=5.4e-13,beta=7.45,gamma=3401,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 80 | published_network
CR81 | crahcn_arrhenius | CH3 + CH3 -> CH4 + CH23 | thermal | modified_arrhenius(alpha=5.3e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 81 | published_network
CR82 | crahcn_arrhenius | CH4 + CH21 -> CH3 + CH3 | thermal | modified_arrhenius(alpha=7.1e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 82 | published_network
CR83 | crahcn_arrhenius | CH4 + CH -> C2H4 + H | thermal | modified_arrhenius(alpha=9.8e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 83 | published_network
CR84 | crahcn_arrhenius | CH4 + H -> CH3 + H2 | thermal | modified_arrhenius(alpha=5.9e-13,beta=3.0,gamma=4045,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 84 | published_network
CR85 | crahcn_arrhenius | CH3 + H2 -> CH4 + H | thermal | modified_arrhenius(alpha=7.0e-14,beta=2.74,gamma=4740,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 85 | published_network
CR86 | crahcn_arrhenius | CH3 + CH23 -> C2H4 + H | thermal | modified_arrhenius(alpha=7.0e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 86 | published_network
CR87 | crahcn_arrhenius | CH3 + CH21 -> C2H4 + H | thermal | modified_arrhenius(alpha=1.3e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 87 | published_network
CR88 | crahcn_arrhenius | CH3 + CH -> C2H4 | thermal | modified_arrhenius(alpha=5.5e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 88 | published_network
CR89 | crahcn_arrhenius | CH3 + CH -> C2H2 + H + H | thermal | modified_arrhenius(alpha=2.4e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 89 | published_network
CR90 | crahcn_arrhenius | CH3 + H -> CH23 + H2 | thermal | modified_arrhenius(alpha=2.6e-11,beta=1.15,gamma=6529,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 90 | published_network
CR91 | crahcn_arrhenius | CH23 + H2 -> CH3 + H | thermal | modified_arrhenius(alpha=8.1e-14,beta=9.04,gamma=1450,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 91 | published_network
CR92 | crahcn_arrhenius | CH23 + CH23 -> C2H2 + H2 | thermal | modified_arrhenius(alpha=5.3e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 92 | published_network
CR93 | crahcn_arrhenius | CH23 + CH21 -> C2H2 + H + H | thermal | modified_arrhenius(alpha=2.1e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 93 | published_network
CR94 | crahcn_arrhenius | CH23 + CH -> C2H2 + H | thermal | modified_arrhenius(alpha=6.3e-11,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 94 | published_network
CR95 | crahcn_arrhenius | CH23 + CH -> C2H + H + H | thermal | modified_arrhenius(alpha=1.1e-10,beta=0,gamma=0,T_ref=300K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN2, reaction 95 | published_network
