 2110035.473218 1.382E-30 1.311E-07.06730.083 1188.28970.76-.011729       6 1 1 15       0 1 1 01                    R 36f     466653343910 9 811    75.0   73.0
 2110036.478300 8.257E-29 1.106E-07.07130.095  197.41660.71-.010392       6 0 0 15       0 0 0 01                    P 22e     466653343910 9 811    43.0   45.0
 2110036.529640 1.103E-30 1.321E-07.06700.081 1246.92050.76-.011948       6 1 1 15       0 1 1 01                    R 38f     466653293910 9 811    79.0   77.0
 2110036.792786 2.969E-30 9.333E-09.06790.085  464.17170.75-.010467       7 1 1 04       0 0 0 01                    P 34e     466653343910 9 811    67.0   69.0
 2110038.447555 8.876E-29 1.114E-07.07220.097  163.86840.70-.010199       6 0 0 15       0 0 0 01                    P 20e     466653343910 9 811    39.0   41.0
 2110038.591390 3.330E-30 8.640E-09.06830.087  411.92250.75-.010312       7 1 1 04       0 0 0 01                    P 32e     466653343910 9 811    63.0   65.0
 2110040.373077 3.629E-30 7.921E-09.06880.088  362.78830.74-.010156       7 1 1 04       0 0 0 01                    P 30e     466653343910 9 811    59.0   61.0
 2110040.377949 9.305E-29 1.123E-07.07310.099  133.43930.69-.009997       6 0 0 15       0 0 0 01                    P 18e     466653343910 9 811    35.0   37.0
 2110042.138070 3.848E-30 7.206E-09.06930.090  316.76990.74-.009998       7 1 1 04       0 0 0 01                    P 28e     466653343910 9 811    55.0   57.0
 2110042.269274 9.489E-29 1.132E-07.07420.101  106.12970.68-.009785       6 0 0 15       0 0 0 01                    P 16e     466653343910 9 811    31.0   33.0
 2110043.886628 3.947E-30 6.473E-09.06990.092  273.86800.73-.009837       7 1 1 04       0 0 0 01                    P 26e     466653343910 9 811    51.0   53.0
 2110044.121301 9.383E-29 1.144E-07.07550.103   81.94010.67-.009558       6 0 0 15       0 0 0 01                    P 14e     466653343910 9 811    27.0   29.0
 2110045.619039 3.904E-30 5.728E-09.07060.094  234.08340.72-.009674       7 1 1 04       0 0 0 01                    P 24e     366653343910 9 811    47.0   49.0
 2110045.933794 8.950E-29 1.156E-07.07700.105   60.87090.67-.009307       6 0 0 15       0 0 0 01                    P 12e     466653343910 9 811    23.0   25.0
