13113050.519448 5.422E-37 9.815E-06.04000.300 5157.10720.660.000000       X1/2   5       X3/2   1                SR  9.5ee     232210 6 7 2 1 1 0    44.0   40.0
13113050.892025 1.031E-59 5.475E-01.04000.30018168.37400.660.000000       X3/2  11       X3/2   5                PP 11.5ff     232210 6 7 2 1 1 0    44.0   48.0
13113052.891074 3.424E-57 1.644E-04.04000.30015339.79310.660.000000       X1/2   9       X3/2   4                SR 11.5ee     232210 6 7 2 1 1 0    52.0   48.0
13113053.349588 1.382E-50 6.768E-05.04000.30012083.09580.660.000000       X3/2   7       X1/2   2                PQ 16.5fe     232210 6 7 2 1 1 0    68.0   68.0
13113053.518511 1.145E-59 5.960E-01.04000.30018164.37540.660.000000       X3/2  11       X3/2   5                PP 11.5ee     232210 6 7 2 1 1 0    44.0   48.0
13113053.953875 9.366E-50 4.432E-04.04000.30012076.05500.660.000000       X3/2   7       X1/2   2                PQ 16.5ef     232210 6 7 2 1 1 0    68.0   68.0
13113055.417176 3.655E-48 1.865E-03.04000.30011435.31790.660.000000       X3/2   8       X1/2   3                OP  7.5ee     232210 6 7 2 1 1 0    28.0   32.0
13113057.200993 5.698E-48 2.896E-03.04000.30011434.44430.660.000000       X3/2   8       X1/2   3                OP  7.5ff     232210 6 7 2 1 1 0    28.0   32.0
13113061.100544 2.100E-52 2.883E-03.08600.30013359.19830.660.000000       X1/2   9       X3/2   4                RQ  2.5ef     232210 6 7 2 1 1 0    12.0   12.0
13113061.391105 1.203E-52 1.650E-03.08600.30013359.05340.660.000000       X1/2   9       X3/2   4                RQ  2.5fe     232210 6 7 2 1 1 0    12.0   12.0
13113062.546254 4.203E-24 5.231E-02.04000.300  608.19860.660.000000       X1/2   4       X1/2   0                PP  4.5ee     232210 6 7 2 1 1 0    16.0   20.0
13113062.733190 4.360E-24 5.426E-02.04000.300  608.19440.660.000000       X1/2   4       X1/2   0                PP  4.5ff     232210 6 7 2 1 1 0    16.0   20.0
13113064.031144 7.731E-60 5.474E-01.04000.30018207.62670.660.000000       X1/2  11       X1/2   5                PP 10.5ee     232210 6 7 2 1 1 0    40.0   44.0
