 6111004.382000 3.726E-27 1.354E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        35333351424110 9 9    15.0    5.0
 6111004.428700 1.154E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111004.467800 1.030E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          34333351424110 9 9     0.0    0.0
 6111004.509700 5.226E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          35333351424110 9 9     0.0    0.0
 6111004.557800 5.647E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111004.618100 2.969E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          36333351424110 9 9     0.0    0.0
 6111004.655500 9.614E-27 0.000E+00.06300.081   10.48000.65-.019000                   0 0 0 0 1A1                   1          36333351424110 9 9     0.0    0.0
 6111004.690000 3.389E-27 1.232E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        35333351424110 9 9    15.0    5.0
 6111004.904500 4.723E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          33333351424110 9 9     0.0    0.0
 6111004.923200 3.833E-27 1.393E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        34333351424110 9 9    15.0    5.0
 6111005.017100 1.165E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          34333351424110 9 9     0.0    0.0
 6111005.103500 3.115E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111005.207200 2.477E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111005.300800 2.153E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111005.355200 5.706E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111005.397800 2.858E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111005.448000 7.073E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111005.490400 4.986E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111005.643500 2.502E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          36333351424110 9 9     0.0    0.0
 6111005.694200 9.778E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          35333351424110 9 9     0.0    0.0
